arm,birth_threshold,renewal,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,extinction_tick,right_censored,founders_on_food,food_under_founders
block,160,reference,0,0,1708,10000,64,921,937,4628,6192,566868,556048,250.0,1,2,26,5420,4708,27,6,80,0,4708,5832,2438,26340,23904,68,278384,276052,56,559828,558756,,True,19,456
block,160,reference,0,0,1709,10000,49,918,949,3590,7156,567768,557022,250.0,1,3,28,5492,4836,30,7,80,0,4836,5776,2483,26592,21572,52,279576,278136,55,560728,558692,,True,18,432
block,160,rare-large,0,0,1700,10000,55,871,896,4197,6712,509064,498155,250.0,1,2,31,5712,5016,33,10,80,0,5016,5816,2597,24804,20432,46,249368,246856,50,502024,500432,,True,20,480
block,160,rare-large,0,0,1701,10000,58,876,898,4393,6228,510340,499719,250.0,1,3,28,5592,5016,30,7,80,0,5016,5696,2359,23632,17936,44,253912,251836,53,503300,502192,,True,28,672
block,160,rare-large,0,0,1702,10000,57,883,906,4137,6752,505080,494191,250.0,1,2,31,5388,4016,24,6,80,0,4016,6492,2140,24344,20504,55,249000,247156,49,498040,496408,,True,19,440
block,160,rare-large,0,0,1703,10000,51,869,898,4233,7504,507636,495899,250.0,1,3,28,4984,5088,29,6,80,0,5088,5016,2530,23256,17604,37,248420,246848,53,500596,498212,,True,22,528
block,160,rare-large,0,0,1704,10000,47,906,939,3931,7408,506256,494917,250.0,1,2,25,5248,4624,28,10,80,0,4624,5744,2317,24068,20132,49,252008,249960,50,499216,496928,,True,23,536
block,160,rare-large,0,0,1705,10000,50,888,918,3966,7476,511128,499686,250.0,1,2,29,5668,3772,25,9,80,0,3772,7016,1981,23324,18168,47,250248,248104,44,504088,501732,,True,12,288
block,160,rare-large,0,0,1706,10000,49,880,911,4293,7832,510216,498091,250.0,1,2,30,5328,4004,25,6,80,0,4004,6444,2010,23580,18064,44,249516,246472,53,503176,500464,,True,14,336
block,160,rare-large,0,0,1707,10000,50,865,895,3996,6752,512836,502088,250.0,1,3,34,5020,5228,31,9,80,0,5228,4912,2688,23260,17476,34,251664,248752,42,505796,504164,,True,23,552
block,160,rare-large,0,0,1708,10000,42,880,918,3611,8416,509880,497853,250.0,1,2,29,5388,4424,24,4,80,0,4424,6084,2182,23756,18244,43,251816,249624,52,502840,499544,,True,19,456
block,160,rare-large,0,0,1709,10000,55,881,906,3837,6140,506900,496923,250.0,1,2,26,5124,4244,26,4,80,0,4244,6000,2079,24128,19764,48,250128,249844,68,499860,498840,,True,18,432
