arm,birth_threshold,movement_cost,seed,attempted_moves,blocked_moves,blocked_fraction,movement_payment_deaths,basal_deaths,basal_paid,movement_paid,birth_paid,food_eaten,births,founder_to_descendant_energy,founder_ending_energy,descendant_ending_energy,population_at_100,alive_at_10000
block,40,0,1503,1838,481,0.2616974972796518,0,203,7622,0,520,6324,130,582,18,84,7,True
block,40,0,1504,1987,522,0.26270759939607446,0,205,7821,0,536,6540,134,698,0,103,9,False
block,40,0,1505,1885,513,0.27214854111405834,0,196,7677,0,496,6392,124,684,0,139,8,True
block,40,0,1506,1894,480,0.25343189017951423,0,199,7713,0,508,6444,127,542,9,134,8,True
block,40,0,1507,1918,536,0.2794577685088634,0,208,7825,0,524,6460,131,700,0,31,3,True
block,40,0,1508,1807,456,0.2523519645821804,0,197,7441,0,496,6076,124,699,9,50,7,True
block,40,0,1509,1876,542,0.2889125799573561,0,201,7657,0,500,6284,125,663,0,47,4,True
block,40,1,1500,1451,336,0.2315644383184011,45,152,5785,1451,468,5784,117,733,0,0,0,False
block,40,1,1501,1281,326,0.2544886807181889,35,150,5686,1281,432,5516,108,810,0,37,3,False
block,40,1,1502,1415,348,0.24593639575971732,38,159,5861,1415,476,5852,119,790,0,20,2,False
block,40,1,1503,1435,313,0.2181184668989547,44,148,5828,1435,456,5832,114,505,0,33,2,False
block,40,1,1504,1366,319,0.2335285505124451,37,140,5753,1366,416,5720,104,592,0,105,7,False
block,40,1,1505,1410,308,0.21843971631205675,41,151,5780,1410,460,5744,115,733,0,14,3,False
block,40,1,1506,1403,333,0.23734853884533144,39,150,5955,1403,460,5988,115,527,13,77,6,False
block,40,1,1507,1533,381,0.24853228962818003,48,146,5984,1533,464,6076,116,675,0,15,2,False
block,40,1,1508,1448,323,0.22306629834254144,48,137,5760,1448,424,5716,106,575,0,4,1,False
block,40,1,1509,1418,318,0.22425952045133993,46,148,5750,1418,456,5704,114,655,0,0,0,False
block,160,0,1500,985,51,0.05177664974619289,0,64,3878,0,32,4188,8,553,1403,795,24,True
block,160,0,1501,963,68,0.07061266874350987,0,61,3915,0,12,3872,3,160,1580,285,22,True
block,160,0,1502,1091,79,0.07241063244729606,0,60,4163,0,40,4880,10,636,1784,813,30,True
block,160,0,1503,892,43,0.04820627802690583,0,65,3592,0,24,3744,6,319,1473,575,21,True
block,160,0,1504,1028,82,0.07976653696498054,0,61,4159,0,36,4448,9,633,1311,862,28,True
block,160,0,1505,950,59,0.06210526315789474,0,59,3948,0,16,4316,4,320,1900,372,25,True
block,160,0,1506,878,48,0.05466970387243736,0,66,3600,0,24,3524,6,397,1139,681,20,True
block,160,0,1507,1086,77,0.070902394106814,0,57,4272,0,16,4712,4,319,1913,431,27,True
block,160,0,1508,956,68,0.07112970711297072,0,60,3939,0,28,4336,7,556,1532,757,27,True
block,160,0,1509,1058,73,0.06899810964083176,0,60,4199,0,28,4584,7,476,1616,661,27,True
block,160,1,1500,789,42,0.053231939163498096,9,56,3196,789,16,3540,4,238,1140,319,19,True
block,160,1,1501,901,48,0.05327413984461709,13,49,3562,901,20,4516,5,397,1502,451,23,True
block,160,1,1502,906,62,0.0684326710816777,13,46,3584,906,20,4296,5,395,1220,486,26,True
block,160,1,1503,719,39,0.054242002781641166,16,48,3058,719,12,3320,3,239,1134,317,19,True
block,160,1,1504,789,60,0.07604562737642585,17,46,3310,789,8,3904,2,158,1551,166,19,True
block,160,1,1505,886,58,0.0654627539503386,12,48,3585,886,20,4496,5,392,1418,507,25,True
block,160,1,1506,677,34,0.050221565731166914,13,56,2817,677,12,2940,3,156,1097,257,14,True
block,160,1,1507,900,44,0.04888888888888889,11,50,3621,900,24,4604,6,396,1395,584,25,True
block,160,1,1508,765,51,0.06666666666666667,11,51,3289,765,8,3792,2,159,1405,245,20,True
block,160,1,1509,820,73,0.08902439024390243,15,49,3416,820,20,3640,5,391,990,314,21,True
