movement_cost,initial_b,treatment,b_trait,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,a,b,b_fraction,a_loss_tick,b_loss_tick,extinction_tick
2,72,neutral,250,1202,3000,81,5268,5267,1592,10144,422532,410796,250.0,1,1,93,0,81,1.0,441,,
2,72,neutral,250,1203,3000,82,5210,5208,1463,9672,419148,408013,250.0,1,2,88,0,82,1.0,724,,
2,72,neutral,250,1204,3000,59,5242,5263,1140,10092,421880,410648,250.0,1,1,99,0,59,1.0,354,,
2,72,neutral,250,1205,3000,103,5184,5161,2153,12232,418116,403731,250.0,1,1,98,0,103,1.0,166,,
2,72,neutral,250,1206,3000,81,5320,5319,1705,10008,423764,412051,250.0,1,1,81,0,81,1.0,104,,
2,72,neutral,250,1207,3000,95,5191,5176,1810,9596,423188,411782,250.0,1,2,110,0,95,1.0,1289,,
2,72,neutral,250,1208,3000,74,5300,5306,1203,9120,423992,413669,250.0,1,2,90,7,67,0.9054054054054054,,,
2,72,neutral,250,1209,3000,60,5243,5263,1088,10416,427184,415680,250.0,1,1,92,0,60,1.0,319,,
3,8,competition,1000,1200,3000,23,3670,3727,539,10072,415964,405353,1000.0,1,1,123,0,23,1.0,989,,
3,8,competition,1000,1201,3000,53,3583,3610,1037,9736,428344,417571,1000.0,1,1,128,0,53,1.0,881,,
3,8,competition,1000,1202,3000,26,3496,3550,567,12364,424804,411873,1000.0,1,1,111,0,26,1.0,851,,
3,8,competition,1000,1203,3000,13,3348,3415,277,14040,427072,412755,1000.0,1,1,107,0,13,1.0,218,,
3,8,competition,1000,1204,3000,52,4722,4750,944,12660,370400,356796,250.0,1,1,148,52,0,0.0,,58,
3,8,competition,1000,1205,3000,70,4701,4711,1273,10404,377932,366255,250.0,1,2,115,70,0,0.0,,92,
3,8,competition,1000,1206,3000,33,3466,3513,718,9600,429328,419010,1000.0,1,1,109,0,33,1.0,864,,
3,8,competition,1000,1207,3000,38,3395,3437,968,12372,426696,413356,1000.0,1,1,115,0,38,1.0,406,,
3,8,competition,1000,1208,3000,91,4753,4742,1831,11164,379740,366745,250.0,1,1,116,91,0,0.0,,70,
3,8,competition,1000,1209,3000,38,4639,4681,827,14176,376100,361097,250.0,1,2,109,38,0,0.0,,334,
3,8,neutral,250,1200,3000,69,4722,4733,1234,12668,373404,359502,250.0,1,1,124,69,0,0.0,,568,
3,8,neutral,250,1201,3000,64,4747,4763,1132,11728,381168,368308,250.0,1,1,104,0,64,1.0,2853,,
3,8,neutral,250,1202,3000,61,4760,4779,1051,9980,380472,369441,250.0,1,2,111,61,0,0.0,,167,
3,8,neutral,250,1203,3000,77,4731,4734,1521,12812,375416,361083,250.0,1,1,124,77,0,0.0,,788,
3,8,neutral,250,1204,3000,71,4742,4751,1275,12700,375928,361953,250.0,1,1,113,0,71,1.0,1653,,
3,8,neutral,250,1205,3000,63,4749,4766,1215,10496,373024,361313,250.0,1,2,131,63,0,0.0,,89,
3,8,neutral,250,1206,3000,54,4800,4826,1030,12748,385332,371554,250.0,1,1,101,54,0,0.0,,415,
3,8,neutral,250,1207,3000,34,4674,4720,658,17572,378188,359958,250.0,1,1,123,34,0,0.0,,1005,
3,8,neutral,250,1208,3000,70,4739,4749,1256,12716,375748,361776,250.0,1,1,107,70,0,0.0,,121,
3,8,neutral,250,1209,3000,53,4675,4702,1056,13012,367244,353176,250.0,1,1,123,53,0,0.0,,838,
3,72,competition,1000,1200,3000,27,3340,3393,599,14372,429184,414213,1000.0,1,1,104,0,27,1.0,66,,
3,72,competition,1000,1201,3000,42,3422,3460,913,10384,432080,420783,1000.0,1,1,113,0,42,1.0,77,,
3,72,competition,1000,1202,3000,20,3364,3424,458,10548,425100,414094,1000.0,1,1,114,0,20,1.0,65,,
