source_seed,replicate,swap,sampled_population,ancestor_population,status,contrast,sampled_fraction
1918,0,0,41,0,sampled_only,41/40,1
1918,0,1,0,0,both_extinct,0,
1918,1,0,153,0,sampled_only,153/40,1
1918,1,1,33,0,sampled_only,33/40,1
1918,2,0,40,0,sampled_only,1,1
1918,2,1,62,0,sampled_only,31/20,1
1918,3,0,54,0,sampled_only,27/20,1
1918,3,1,0,0,both_extinct,0,
1918,4,0,45,0,sampled_only,9/8,1
1918,4,1,58,0,sampled_only,29/20,1
1919,0,0,70,0,sampled_only,7/4,1
1919,0,1,0,70,ancestor_only,-7/4,0
1919,1,0,0,0,both_extinct,0,
1919,1,1,0,0,both_extinct,0,
1919,2,0,15,0,sampled_only,3/8,1
1919,2,1,0,15,ancestor_only,-3/8,0
1919,3,0,25,0,sampled_only,5/8,1
1919,3,1,0,25,ancestor_only,-5/8,0
1919,4,0,49,0,sampled_only,49/40,1
1919,4,1,0,49,ancestor_only,-49/40,0
