source,parent_index,coordinate,delta,parent_valid,variant_valid,variant_reason,transition,silent_genotype,weights_changed,active_sites_changed,cost_change,behavior_tv
83001,3,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,6,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83001,3,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,3,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83001,3,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83001,4,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83001,4,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83001,4,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83002,0,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,4,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83002,0,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,6,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83002,0,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,0,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83002,0,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83002,1,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,1,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83002,1,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83002,2,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,4,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83002,2,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,6,-1,False,True,developed,invalid_to_valid,False,True,True,1,
83002,2,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
