genome,expected_change_per_birth,expected_change_exact,probability_of_actual_change
366,0.0,0,0.09950248756218906
367,0.0,0,0.09950248756218906
368,0.0,0,0.09950248756218906
369,0.0,0,0.09950248756218906
370,0.0,0,0.09950248756218906
371,0.0,0,0.09950248756218906
372,0.0,0,0.09950248756218906
373,0.0,0,0.09950248756218906
374,0.0,0,0.09950248756218906
375,0.0,0,0.09950248756218906
376,0.0,0,0.09950248756218906
377,0.0,0,0.09950248756218906
378,0.0,0,0.09950248756218906
379,0.0,0,0.09950248756218906
380,0.0,0,0.09950248756218906
381,0.0,0,0.09950248756218906
382,0.0,0,0.09950248756218906
383,0.0,0,0.09950248756218906
384,0.0,0,0.09950248756218906
385,0.0,0,0.09950248756218906
386,0.0,0,0.09950248756218906
387,0.0,0,0.09950248756218906
388,0.0,0,0.09950248756218906
389,0.0,0,0.09950248756218906
390,0.0,0,0.09950248756218906
391,0.0,0,0.09950248756218906
392,0.0,0,0.09950248756218906
393,0.0,0,0.09950248756218906
394,0.0,0,0.09950248756218906
395,0.0,0,0.09950248756218906
396,0.0,0,0.09950248756218906
397,0.0,0,0.09950248756218906
398,0.0,0,0.09950248756218906
399,0.0,0,0.09950248756218906
400,0.0,0,0.09950248756218906
401,0.0,0,0.09950248756218906
402,0.0,0,0.09950248756218906
403,0.0,0,0.09950248756218906
404,0.0,0,0.09950248756218906
405,0.0,0,0.09950248756218906
406,0.0,0,0.09950248756218906
407,0.0,0,0.09950248756218906
408,0.0,0,0.09950248756218906
409,0.0,0,0.09950248756218906
410,0.0,0,0.09950248756218906
411,0.0,0,0.09950248756218906
412,0.0,0,0.09950248756218906
413,0.0,0,0.09950248756218906
414,0.0,0,0.09950248756218906
415,0.0,0,0.09950248756218906
416,0.0,0,0.09950248756218906
417,0.0,0,0.09950248756218906
418,0.0,0,0.09950248756218906
419,0.0,0,0.09950248756218906
420,0.0,0,0.09950248756218906
421,0.0,0,0.09950248756218906
422,0.0,0,0.09950248756218906
423,0.0,0,0.09950248756218906
424,0.0,0,0.09950248756218906
425,0.0,0,0.09950248756218906
426,0.0,0,0.09950248756218906
427,0.0,0,0.09950248756218906
428,0.0,0,0.09950248756218906
429,0.0,0,0.09950248756218906
430,0.0,0,0.09950248756218906
431,0.0,0,0.09950248756218906
432,0.0,0,0.09950248756218906
433,0.0,0,0.09950248756218906
434,0.0,0,0.09950248756218906
435,0.0,0,0.09950248756218906
436,0.0,0,0.09950248756218906
437,0.0,0,0.09950248756218906
438,0.0,0,0.09950248756218906
439,0.0,0,0.09950248756218906
440,0.0,0,0.09950248756218906
441,0.0,0,0.09950248756218906
442,0.0,0,0.09950248756218906
443,0.0,0,0.09950248756218906
444,0.0,0,0.09950248756218906
445,0.0,0,0.09950248756218906
446,0.0,0,0.09950248756218906
447,0.0,0,0.09950248756218906
448,0.0,0,0.09950248756218906
449,0.0,0,0.09950248756218906
450,0.0,0,0.09950248756218906
451,0.0,0,0.09950248756218906
452,0.0,0,0.09950248756218906
453,0.0,0,0.09950248756218906
454,0.0,0,0.09950248756218906
455,0.0,0,0.09950248756218906
456,0.0,0,0.09950248756218906
457,0.0,0,0.09950248756218906
458,0.0,0,0.09950248756218906
459,0.0,0,0.09950248756218906
460,0.0,0,0.09950248756218906
461,0.0,0,0.09950248756218906
462,0.0,0,0.09950248756218906
463,0.0,0,0.09950248756218906
464,0.0,0,0.09950248756218906
465,0.0,0,0.09950248756218906
466,0.0,0,0.09950248756218906
467,0.0,0,0.09950248756218906
468,0.0,0,0.09950248756218906
469,0.0,0,0.09950248756218906
470,0.0,0,0.09950248756218906
471,0.0,0,0.09950248756218906
472,0.0,0,0.09950248756218906
473,0.0,0,0.09950248756218906
474,0.0,0,0.09950248756218906
475,0.0,0,0.09950248756218906
476,0.0,0,0.09950248756218906
477,0.0,0,0.09950248756218906
478,0.0,0,0.09950248756218906
479,0.0,0,0.09950248756218906
480,0.0,0,0.09950248756218906
481,0.0,0,0.09950248756218906
482,0.0,0,0.09950248756218906
483,0.0,0,0.09950248756218906
484,0.0,0,0.09950248756218906
485,0.0,0,0.09950248756218906
