arm,birth_threshold,renewal,food_capacity,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,active_start_ticks,empty_start_ticks,food_at_active_window_end,resources_added_during_active_start_ticks,cumulative_uptake_at_active_window_end,resources_added_after_extinction,extinction_tick,right_censored,founders_on_food,food_under_founders
block,160,reference,96,0,0,1809,10000,53,1080,1107,4639,8832,623076,609605,250.0,1,3,29,6212,4212,25,6,80,0,4212,7120,1989,30732,27908,85,306832,306244,72,616036,612324,10000,0,8832,616036,612324,0,,True,19,456
block,160,rare-large,24,0,0,1800,10000,56,890,914,4400,6996,504932,493536,250.0,1,2,32,5784,4564,27,10,80,0,4564,6340,2433,25132,21220,53,251080,248492,49,497892,496016,10000,0,6996,497892,496016,0,,True,15,360
block,160,rare-large,24,0,0,1801,10000,57,884,907,4085,7376,511576,500115,250.0,1,4,29,5580,3904,20,6,80,0,3904,6796,2051,24668,21136,60,252060,249388,48,504536,502280,10000,0,7376,504536,502280,0,,True,18,432
block,160,rare-large,24,0,0,1802,10000,45,902,937,3611,9092,507128,494425,250.0,1,2,25,5200,3600,20,5,80,0,3600,6720,1868,23692,19592,56,245748,242748,41,500088,496116,10000,0,9092,500088,496116,0,,True,10,240
block,160,rare-large,24,0,0,1803,10000,53,886,913,4329,7072,506280,494879,250.0,1,1,31,4872,3300,19,4,80,0,3300,6692,1604,22528,16496,42,247672,245576,52,499240,497288,10000,0,7072,499240,497288,0,,True,15,360
block,160,rare-large,24,0,0,1804,10000,61,920,939,4664,6368,506872,495840,250.0,1,2,27,4676,3728,24,10,80,0,3728,6068,2027,22352,15960,40,246844,245356,48,499832,498584,10000,0,6368,499832,498584,0,,True,10,240
block,160,rare-large,24,0,0,1805,10000,51,887,916,3859,6900,510316,499557,250.0,1,2,23,5228,4808,29,8,80,0,4808,5540,2789,22908,17488,43,250176,248692,62,503276,501496,10000,0,6900,503276,501496,0,,True,17,408
block,160,rare-large,24,0,0,1806,10000,47,910,943,3332,8084,505196,493780,250.0,1,3,32,5080,3124,19,4,80,0,3124,7076,1433,22824,18616,55,247668,244408,41,498156,495192,10000,0,8084,498156,495192,0,,True,14,336
block,160,rare-large,24,0,0,1807,10000,39,880,921,3166,7052,505528,495310,250.0,1,3,25,4732,4264,26,9,80,0,4264,5588,2128,23844,17768,42,249572,248244,46,498488,496556,10000,0,7052,498488,496556,0,,True,15,360
block,160,rare-large,24,0,0,1808,10000,58,886,908,4299,6900,505736,494537,250.0,1,3,23,5120,3372,20,7,80,0,3372,6868,1744,23972,20224,57,248036,246428,56,498696,496916,10000,0,6900,498696,496916,0,,True,9,216
